source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
blog_article,"41000btu, surface convenable",climatisation,,,65.0,50.0,80.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 50.0 – 80.0 DT/unité,https://www.sm-devis.tn/climatiseur-solaire-hybride-ecosolar-tunis/,2026-04-05 09:34:44.091630,8.863762584119184e-05,9.243191964685726e-06,0.00027172526231143023
blog_article,"48000btu, surface convenable",climatisation,,,75.5,58.0,93.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 58.0 – 93.0 DT/unité,https://www.sm-devis.tn/climatiseur-solaire-hybride-ecosolar-tunis/,2026-04-05 09:34:44.091630,0.00010317973633076238,1.07522845303487e-05,0.00031655303401255456
blog_article,"41000btu, zone convenable",climatisation,,,65.0,50.0,80.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 50.0 – 80.0 DT/unité,https://www.sm-devis.tn/climatiseur-solaire-hybride-ecosolar-tunis/,2026-04-05 09:34:44.091630,8.863762584119184e-05,9.243191964685726e-06,0.00027172526231143023
blog_article,"48000btu, superficie",climatisation,,,75.5,58.0,93.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 58.0 – 93.0 DT/unité,https://www.sm-devis.tn/climatiseur-solaire-hybride-ecosolar-tunis/,2026-04-05 09:34:44.091630,0.00010317973633076238,1.07522845303487e-05,0.00031655303401255456
blog_article,compter,climatisation,,,17.5,5.0,30.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 5.0 – 30.0 DT/unité,https://www.sm-devis.tn/climatiseur-solaire-hybride-ecosolar-tunis/,2026-04-05 09:34:44.091630,2.285188791218227e-05,7.545462828314878e-07,9.931075576864456e-05
blog_article,coûte généralement,climatisation,,,15.0,10.0,20.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 10.0 – 20.0 DT/unité,http://www.sm-devis.tn/climatisation-reversible-3/,2026-04-05 09:33:44.546893,1.9389480652760716e-05,1.6977291363708474e-06,6.482785446008742e-05
blog_article,se déclinent en plusieurs unités intérieures reliées à la même unité extérieure. Celles-ci peuvent être au nombre,climatisation,,,3.5,2.0,5.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2.0 – 5.0 DT/unité,http://www.sm-devis.tn/climatisation-reversible-3/,2026-04-05 09:33:44.546893,3.4624072594215563e-06,1.8863657070787194e-07,1.3103502497251713e-05
blog_article,Veuillez entrer uniquement 2 chiffres * Exemple,climatisation,,,12.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,Veuillez entrer uniquement 2 chiffres * Exemple: 12 Cette boîte est pour la protection contre le spam - Veuillez laisser en blanc :,http://www.sm-devis.tn/climatisation-reversible-3/,2026-04-05 09:33:44.541876,1.5234591941454847e-05,,
blog_article,Split,climatisation,,,20.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,"20 m2 | 2,2 à 2,8 kW | 2,6 à 3 kW | /",https://www.sm-devis.tn/devis-climatiseur-aermec-tunisie/,2026-04-05 09:36:45.353210,2.631429517160383e-05,,
blog_article,Climatiseur Falcon Chaud & Froid R410A,climatisation,,,12000.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,Climatiseur Falcon Chaud & Froid R410A – 12000,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.523552,0.016618169882319702,,
blog_article,Multisplit,climatisation,,,3.6,3.5,3.7,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 3.5 – 3.7 DT/unité,https://www.sm-devis.tn/devis-climatiseur-aermec-tunisie/,2026-04-05 09:36:45.357294,3.600903549798419e-06,4.715914267696798e-07,8.620725327139285e-06
blog_article,Climatiseur Westpoint Chaud & Froid R410A,climatisation,,,9000.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,Climatiseur Westpoint Chaud & Froid R410A – 9000,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.523552,0.012463281171013835,,
blog_article,Puissances disponibles,climatisation,,,12.6,5.2,20.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 5.2 – 20.0 DT/unité,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.527549,1.6065569683716023e-05,7.922735969730622e-07,6.482785446008742e-05
blog_article,bsorbée Max (IEC60335): 1375W – Débit d’air: 550 m3/h – Tension minimale: 4.5MPa – Niveau de bruit: 44 dB(A) – Tension,climatisation,,,230.0,220.0,240.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 220.0 – 240.0 DT/unité,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.532664,0.00031715650496301457,4.131140898502395e-05,0.0008234516832483445
blog_article,m3/h – Tension minimale: 4.5MPa – Niveau de bruit: 44 dB(A) – Tension: 220-240V – Fréquence: 50Hz – Surface appropriée,climatisation,,,35.0,30.0,40.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 30.0 – 40.0 DT/unité,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.532664,4.708873872813317e-05,5.470460550528286e-06,0.0001337936570772017
blog_article,Climatiseur Split Haier New Building – Puissance 12 000 BTU – Froid,climatisation,,,4.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,Climatiseur Split Haier New Building – Puissance 12 000 BTU – Froid – 4,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.523552,4.154888711305868e-06,,
blog_article,haud & Froid R410A – 12000 BTU – Classe énergétique 1 – EER/COP : 3.44 / 3.35 – Débit d’air: 550 m3/h- Niveaux sonores,climatisation,,,36.0,32.0,40.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 32.0 – 40.0 DT/unité,https://www.sm-devis.tn/devis-climatiseur-armoire-tunisie/,2026-04-05 09:36:49.533806,4.847370163190179e-05,5.84773369194403e-06,0.0001337936570772017
